Asset_ID,Asset_XCords,Asset_YCords,latitude,longitude
27593,519214,192896,51.6222671480731,-0.2793105328864486
27594,519197,192930,51.622576310700325,-0.2795444270023723
27595,519189,192968,51.62291951764562,-0.2796470179556057
27596,519179,192993,51.623146313779294,-0.2797829061940298
27597,519159,193020,51.62339319954145,-0.2800625028635991
27598,519154,193054,51.62369982261395,-0.2801231423553891
27599,519137,193074,51.62388316258675,-0.2803618061004276
27600,519126,193103,51.62414611827175,-0.2805107805911926
27601,519139,193131,51.62439501112153,-0.2803135603813864
27602,519163,193143,51.62449778127887,-0.279962945988819
27603,519185,193164,51.62468185847844,-0.2796381487750254
27604,527937,194439,51.634220028646816,-0.1528088058102504
27605,527965,194460,51.63440238431842,-0.1523967854169394
27606,527991,194488,51.63464809915302,-0.1520110872675092
27607,528026,194500,51.634747981238846,-0.151501259105116
27608,528051,194527,51.63498493388544,-0.1511303600171188
27609,528086,194538,51.635075825515685,-0.150620891776824
27610,528109,194566,51.63532221690794,-0.1502785027185879
27611,528144,194575,51.63539513165467,-0.1497697605298815
27612,528166,194602,51.63563276154647,-0.1494421718134153
27613,528195,194620,51.63578791774428,-0.1490167813183109
27614,528231,194631,51.635878572316855,-0.1484928584326004
27615,528250,194655,51.63608992220458,-0.148209682778429
27616,528280,194662,51.63614599393475,-0.1477738696255083
27617,528302,194688,51.63637463152028,-0.1474466313058979
27618,528194,194620,51.63578814542111,-0.1490312229061061
27619,520069,192975,51.62279555432895,-0.2669387836246343
27620,520033,192983,51.62287512341696,-0.2674558273774617
27621,520005,192975,51.62280919149781,-0.2678628411724498
27622,519969,192980,51.62286179503637,-0.2683809131961523
27623,519946,192973,51.622803782489456,-0.2687153915037022
27624,523289,189385,51.58983685163485,-0.2217091308975266
27625,523289,189389,51.58987279960067,-0.2217077271417572
27626,523288,189465,51.59055602950932,-0.2216954830497987
27627,523392,189697,51.59261826469688,-0.2201134966019091
27628,523396,189701,51.59265333737864,-0.2200543775532629
27629,523483,189796,51.59348805634525,-0.2187657032088655
27630,523487,189802,51.593541102264574,-0.2187058788373738
27631,519235,193377,51.62658555302996,-0.2788437546611994
27632,519208,193392,51.626726076026415,-0.2792285257265565
27633,519196,193424,51.627016206304425,-0.2793909223448816
27634,519203,193452,51.62726636681387,-0.2792803226640542
27635,519225,193471,51.62743246741736,-0.2789561828903177
